,text,emotion,X,y,NaiveBayes,SVM
  (0, 14)	0.362338866231",positive,positive,positive
154,Selfdriving vehicle designed to help commuters reconnect with outside ,positive,"  (0, 3071)	0.163481774065
  (0, 1588)	0.339785103242
  (0, 3744)	0.306647171613
  (0, 884)	0.411823554682
  (0, 647)	0.442971463293
  (0, 2787)	0.449156131574
  (0, 2434)	0.442971463293",positive,positive,positive
156, says its new supercomputer will enable the highest level of automated selfdrivingcars  AI via ,positive,"  (0, 3078)	0.0621255780243
  (0, 70)	0.187386218188
  (0, 2309)	0.237628816902
  (0, 3004)	0.279671537841
  (0, 227)	0.339813798788
  (0, 1124)	0.397726223805
  (0, 3366)	0.401814318617
  (0, 1600)	0.466833684759
  (0, 2002)	0.416287390234",positive,positive,positive
158,RT oma How selfdrivingcars Will Save Americans Thousands Every Yearautonomous smartcity ai Iot,positive,"  (0, 3078)	0.0611969232558
  (0, 2959)	0.167140495756
  (0, 70)	0.184585164088
  (0, 2387)	0.437822694831
  (0, 2998)	0.305900210082
  (0, 111)	0.360273988225
  (0, 3504)	0.391781001788
  (0, 3923)	0.447729946513
  (0, 3202)	0.34045948486
  (0, 1838)	0.222079247195",positive,positive,positive
160,How selfdrivingcars Will Save Americans Thousands Every Yearautonomous smartcity ai Iot mobility Robot,positive,"  (0, 3078)	0.0620686983944
  (0, 70)	0.187214655056
  (0, 2217)	0.28791127012
  (0, 2998)	0.310257883374
  (0, 111)	0.36540623817
  (0, 3504)	0.397362081995
  (0, 3923)	0.454108042264
  (0, 3202)	0.345309469121
  (0, 1838)	0.225242856674
  (0, 2930)	0.338141782182",positive,positive,positive
162,IEEEorg This startup will give selfdrivingcars night vision  via IEEESpectrum,positive,"  (0, 3078)	0.0712805467326
  (0, 3295)	0.359160233387
  (0, 2323)	0.447884458524
  (0, 3768)	0.378349842298
  (0, 1693)	0.500207537305
  (0, 1694)	0.521503920101",positive,positive,positive
164,RT  This startup will give selfdrivingcars night vision  via um,positive,"  (0, 3078)	0.0846120294275
  (0, 2959)	0.231091626719
  (0, 3295)	0.426333377471
  (0, 2323)	0.531651547608
  (0, 3768)	0.44911198718
  (0, 3639)	0.522802420315",positive,positive,positive
166,IEEEorg This startup will give selfdrivingcars night vision  via IEEESpectrum,positive,"  (0, 3078)	0.0712805467326
  (0, 3295)	0.359160233387
  (0, 2323)	0.447884458524
  (0, 3768)	0.378349842298
  (0, 1693)	0.500207537305
  (0, 1694)	0.521503920101",positive,positive,positive
168,GM Brings Self Driving Cars to the Big Apple and Opportunity Follows ,positive,"  (0, 509)	0.156364007875
  (0, 1459)	0.326525715534
  (0, 3062)	0.286532965746
  (0, 1024)	0.244606045737
  (0, 148)	0.27652571476
  (0, 430)	0.424885148878
  (0, 356)	0.319924542397
  (0, 2413)	0.408286658017
  (0, 1343)	0.448279407805",positive,positive,positive
170,LeddarTech Receives  Million I  autonomouscars autonomoussystems driverlesscars selfdrivingcars technology,positive,"  (0, 3078)	0.066464903676
  (0, 254)	0.244635233255
  (0, 3439)	0.250853306801
  (0, 1988)	0.516419086363
  (0, 2778)	0.475511540302
  (0, 2186)	0.35037970582
  (0, 258)	0.42988010465
  (0, 1018)	0.269157755512",positive,positive,positive
172,This startup will give selfdrivingcars night vision  via um,positive,"  (0, 3078)	0.0869660265751
  (0, 3295)	0.438194427978
  (0, 2323)	0.546442662241
  (0, 3768)	0.46160676297
  (0, 3639)	0.537347342763",positive,positive,positive
174,Expert comments on ProjectTitan roof array potential to become aftermarket addon ,neutral,"  (0, 1224)	0.335555282144
  (0, 640)	0.376298952307
  (0, 2658)	0.327448194388
  (0, 2948)	0.3663766788
  (0, 170)	0.376298952307
  (0, 2585)	0.294811611981
  (0, 58)	0.376298952307
  (0, 40)	0.3663766788",neutral,neutral,neutral
176,Apples selfdriving car spotted on Twitter  Applecar selfdrivingcars autonomousdriving ,positive,"  (0, 3078)	0.0669574773155
  (0, 256)	0.342136546142
  (0, 3071)	0.165582901618
  (0, 492)	0.204842472035
  (0, 150)	0.448664694555
  (0, 3267)	0.420720867702
  (0, 3619)	0.479035572341
  (0, 149)	0.448664694555",positive,positive,positive
178,RT  AutonomousVehicles   who leads the Innovationsselfdrivingcars autonomousdriving ,positive,"  (0, 2959)	0.223727959297
  (0, 256)	0.418570433012
  (0, 264)	0.291762251049
  (0, 1979)	0.574840518914
  (0, 1770)	0.599314407899",positive,positive,positive
180,Hot topics at Tuesdays TedXWilmington Salon auto tech selfdrivingcars privacy  data   ,positive,"  (0, 3078)	0.0509020362432
  (0, 3427)	0.167935654984
  (0, 1635)	0.35720239757
  (0, 3542)	0.382496000791
  (0, 3611)	0.395498700771
  (0, 3443)	0.395498700771
  (0, 2987)	0.395498700771
  (0, 219)	0.238853819257
  (0, 2627)	0.317097926905
  (0, 811)	0.261629405618",positive,positive,positive
182,AutonomousVehicles   who leads the Innovationsselfdrivingcars autonomousdriving ,neutral,"  (0, 256)	0.429456454026
  (0, 264)	0.299350292978
  (0, 1979)	0.589790753033
  (0, 1770)	0.614901149638",neutral,positive,positive
184,Toyota continues its push and doubling Down on Hydrogen Fuel Cells ,neutral,"  (0, 3550)	0.303033798284
  (0, 706)	0.396354710635
  (0, 2699)	0.33669439582
  (0, 986)	0.389657811153
  (0, 1673)	0.4132295496
  (0, 1384)	0.389657811153
  (0, 532)	0.404085713717",neutral,neutral,neutral
186,RT  Could builtin cybersecurity solutions hold the key to autonomous vehicles  selfdrivingcars,neutral,"  (0, 3078)	0.0662168371433
  (0, 2959)	0.180850840184
  (0, 252)	0.226222336569
  (0, 3745)	0.278164707714
  (0, 451)	0.449896722667
  (0, 793)	0.368386988487
  (0, 3230)	0.438097918962
  (0, 1616)	0.405962873568
  (0, 1906)	0.373502982902",neutral,neutral,neutral
188,Could builtin cybersecurity solutions hold the key to autonomous vehicles  selfdrivingcars,neutral,"  (0, 3078)	0.0673270237049
  (0, 252)	0.230015163421
  (0, 3745)	0.282828396494
  (0, 451)	0.457439657624
  (0, 793)	0.374563337309
  (0, 3230)	0.445443036054
  (0, 1616)	0.412769216881
  (0, 1906)	0.379765106105",neutral,neutral,neutral
190,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
192,Is Apple the next big player in SelfDrivingCars with their topsecret ProjectTitan,positive,"  (0, 3078)	0.0695303524885
  (0, 148)	0.295896437891
  (0, 356)	0.342335368598
  (0, 2658)	0.45464850231
  (0, 2542)	0.540237014134
  (0, 3543)	0.540237014134",positive,positive,positive
194,Toyota continues its push and doubling Down on Hydrogen Fuel Cells ,neutral,"  (0, 3550)	0.303033798284
  (0, 706)	0.396354710635
  (0, 2699)	0.33669439582
  (0, 986)	0.389657811153
  (0, 1673)	0.4132295496
  (0, 1384)	0.389657811153
  (0, 532)	0.404085713717",neutral,neutral,neutral
196,RT  Who is the Juicero of SelfDrivingCarsy latest screed ,neutral,"  (0, 2959)	0.212837843625
  (0, 1892)	0.509563234847
  (0, 3086)	0.515584092799
  (0, 1955)	0.404217080933
  (0, 3025)	0.515584092799",neutral,neutral,neutral
198,RT e GM Brings SelfDrivingCars to NewYork and Opportunity Follows rs AutonomousVehicl,positive,"  (0, 3078)	0.0567743072513
  (0, 2959)	0.155061486024
  (0, 1459)	0.285298189696
  (0, 2314)	0.363467537048
  (0, 430)	0.37123864381
  (0, 2413)	0.356735898179
  (0, 1343)	0.391679115735
  (0, 2957)	0.398410754604
  (0, 262)	0.42662233329",positive,positive,positive
200,GM Brings SelfDrivingCars to NewYork and Opportunity Follows ,positive,"  (0, 3078)	0.0712345000239
  (0, 1459)	0.357962516579
  (0, 2314)	0.456041289275
  (0, 430)	0.465791666366
  (0, 2413)	0.447595128459
  (0, 1343)	0.491438246101",positive,positive,positive
202,More than  billion has been invested in selfdrivingcars nst  AutonomousVehicles driverlesscars,positive,"  (0, 3078)	0.0762880704662
  (0, 264)	0.271717473804
  (0, 363)	0.432395283771
  (0, 1018)	0.308937870717
  (0, 1822)	0.535347575219
  (0, 2341)	0.592743139185",positive,positive,positive
204,k via  reports California will allow driverless cars on the roads in  selfdrivingcars ,positive,"  (0, 3078)	0.0869305899527
  (0, 509)	0.209189172967
  (0, 476)	0.344963156278
  (0, 2919)	0.350492213449
  (0, 2845)	0.556527220744
  (0, 96)	0.546219999633
  (0, 1016)	0.314260649998",positive,positive,positive
206,Data collection and security flaws will challenge autonomous carmakers  autonomousdriving selfdrivingcars,negative,"  (0, 3078)	0.0578705905684
  (0, 252)	0.197708328905
  (0, 256)	0.295704748358
  (0, 811)	0.297446808235
  (0, 626)	0.434860195967
  (0, 3045)	0.334867958863
  (0, 1325)	0.449642982322
  (0, 542)	0.357571908142
  (0, 503)	0.387775822538",negative,positive,negative
208, puts its stamp on AutonomousVehicles More on  ,positive,"  (0, 264)	0.322067696416
  (0, 2702)	0.634549401328
  (0, 3282)	0.702580569188",positive,positive,positive
210,Selfdriving cars are hitting the Big Apple by storm next year selfdrivingcars newyork ,positive,"  (0, 3078)	0.065864649382
  (0, 509)	0.15849623866
  (0, 3071)	0.16288038612
  (0, 2314)	0.421663654714
  (0, 1615)	0.441341937924
  (0, 148)	0.280296509906
  (0, 356)	0.32428713816
  (0, 3326)	0.511755229847
  (0, 3922)	0.354691597751",positive,positive,positive
212,How will SelfDrivingCars impact US real estate ,neutral,"  (0, 3078)	0.095296597908
  (0, 1712)	0.542820759743
  (0, 2763)	0.499051525092
  (0, 1171)	0.668738930018",neutral,neutral,neutral
214,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
216,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
218,k via  reports California will allow driverless cars on the roads in  selfdrivingcars ,positive,"  (0, 3078)	0.0869305899527
  (0, 509)	0.209189172967
  (0, 476)	0.344963156278
  (0, 2919)	0.350492213449
  (0, 2845)	0.556527220744
  (0, 96)	0.546219999633
  (0, 1016)	0.314260649998",positive,positive,positive
220,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,positive,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",positive,positive,positive
222,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,positive,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",positive,positive,positive
224,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,positive,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",positive,positive,positive
226,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,positive,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",positive,positive,positive
228,Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we n ,positive,"  (0, 3078)	0.0721981759753
  (0, 70)	0.217767682593
  (0, 107)	0.442633327862
  (0, 440)	0.442633327862
  (0, 3531)	0.35722699205
  (0, 944)	0.411249400244
  (0, 1123)	0.391780946677
  (0, 3498)	0.324479014276",positive,positive,positive
230,selfdrivingcars could ease traffic but increase sprawl ,neutral,"  (0, 3078)	0.0775763251622
  (0, 3559)	0.355272656485
  (0, 1051)	0.555006263887
  (0, 1737)	0.487443376661
  (0, 3268)	0.567565198832",neutral,neutral,neutral
232,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
234,To Survive the Streets SelfDrivingCars Have to Start Thinking Like Humans |   AI MachineLearning,neutral,"  (0, 3078)	0.0774716978364
  (0, 70)	0.233673938108
  (0, 3382)	0.380511511602
  (0, 3291)	0.371901472548
  (0, 3499)	0.382370828325
  (0, 2021)	0.319150492912
  (0, 1661)	0.334688865779
  (0, 2093)	0.364250202059
  (0, 3337)	0.404395322527",neutral,neutral,neutral
236,RT  Who is the Juicero of SelfDrivingCarsy latest screed ,neutral,"  (0, 2959)	0.212837843625
  (0, 1892)	0.509563234847
  (0, 3086)	0.515584092799
  (0, 1955)	0.404217080933
  (0, 3025)	0.515584092799",neutral,neutral,neutral
238,RT  Who is the Juicero of SelfDrivingCarsy latest screed ,neutral,"  (0, 2959)	0.212837843625
  (0, 1892)	0.509563234847
  (0, 3086)	0.515584092799
  (0, 1955)	0.404217080933
  (0, 3025)	0.515584092799",neutral,neutral,neutral
240,RT  Who is the Juicero of SelfDrivingCarsy latest screed ,neutral,"  (0, 2959)	0.212837843625
  (0, 1892)	0.509563234847
  (0, 3086)	0.515584092799
  (0, 1955)	0.404217080933
  (0, 3025)	0.515584092799",neutral,neutral,neutral
242,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
244,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
246,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
248,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
250,Uber built a fake city in Pittsburgh with roaming mannequins to test its SelfDrivingCars  via ck Almono,positive,"  (0, 3078)	0.0584661563871
  (0, 586)	0.269203588826
  (0, 3469)	0.232731613601
  (0, 3624)	0.199743012181
  (0, 1260)	0.288566705921
  (0, 450)	0.295397449642
  (0, 2531)	0.26363597208
  (0, 2923)	0.308213110113
  (0, 2116)	0.309261927077
  (0, 587)	0.439335489309
  (0, 100)	0.454270410317",positive,positive,positive
252,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
254,Selfdriving vehicle designed to help London commuters reconnect with their surroundings   selfdrivingcars,positive,"  (0, 3078)	0.0586583142791
  (0, 3071)	0.145059435806
  (0, 1588)	0.301495598842
  (0, 3744)	0.272091895014
  (0, 884)	0.365416223523
  (0, 647)	0.39305415488
  (0, 2787)	0.398541888889
  (0, 2058)	0.411631676144
  (0, 3380)	0.440779432039",positive,positive,positive
256,MOVEUK completes phase of real world autonomousdriving in Greenwich  autonomousvehicles selfdrivingcars,positive,"  (0, 3078)	0.0563728092878
  (0, 256)	0.288051447565
  (0, 264)	0.200784699853
  (0, 2763)	0.295214488936
  (0, 2252)	0.438005519575
  (0, 657)	0.438005519575
  (0, 2510)	0.388909229585
  (0, 3890)	0.268314816686
  (0, 1510)	0.423605334822",positive,positive,positive
258,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
